95Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [66.6666648864746, 0]
96Meta-Train Tasks: [98.74999961853027, 0]
Meta-Val Tasks: [69.33333129882813, 0]
97Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [70.6666648864746, 0]
98Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [73.33333129882813, 0]
99Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [73.33333129882813, 0]
100Meta-Train Tasks: [98.74999961853027, 0]
Meta-Val Tasks: [70.66666564941406, 0]
101Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [67.99999618530273, 0]
102Meta-Train Tasks: [99.58333320617676, 0]
Meta-Val Tasks: [66.66666259765626, 0]
103Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [69.33333053588868, 0]
104Meta-Train Tasks: [99.58333320617676, 0]
Meta-Val Tasks: [70.6666648864746, 0]
105Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [70.6666648864746, 0]
106Meta-Train Tasks: [99.58333320617676, 0]
Meta-Val Tasks: [73.33333129882813, 0]
107Meta-Train Tasks: [99.58333320617676, 0]
Meta-Val Tasks: [74.66666564941406, 0]
108Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [75.9999984741211, 0]
109Meta-Train Tasks: [99.58333320617676, 0]
Meta-Val Tasks: [74.66666412353516, 0]
110Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [73.33333129882813, 0]
111Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.66666564941406, 0]
112Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.66666564941406, 0]
113Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.66666564941406, 0]
114Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.66666564941406, 0]
115Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [75.9999984741211, 0]
116Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [75.9999984741211, 0]
117Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.66666564941406, 0]
118Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.66666564941406, 0]
119Meta-Train Tasks: [100.0, 0]
