104Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [49.86666496276855, 0]
105Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [50.93333152770996, 0]
106Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [50.9333317565918, 0]
107Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [50.6666650390625, 0]
108Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [50.933331604003904, 0]
109Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [51.199998168945314, 0]
110Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [45.33333194732666, 0]
111Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [50.13333221435547, 0]
112Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [50.13333229064941, 0]
113Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [50.133332061767575, 0]
114Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [49.59999862670898, 0]
115Meta-Train Tasks: [99.59999977111816, 0]
Meta-Val Tasks: [46.93333209991455, 0]
116Meta-Train Tasks: [99.73333312988281, 0]
Meta-Val Tasks: [44.79999927520752, 0]
117Meta-Train Tasks: [99.13333282470703, 0]
Meta-Val Tasks: [49.86666549682617, 0]
118Meta-Train Tasks: [98.93333259582519, 0]
Meta-Val Tasks: [47.99999862670899, 0]
119Meta-Train Tasks: [99.0666660308838, 0]
Meta-Val Tasks: [46.66666557312012, 0]
120Meta-Train Tasks: [99.79999984741211, 0]
Meta-Val Tasks: [49.59999893188476, 0]
121Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [49.59999893188476, 0]
122Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [49.59999862670898, 0]
123Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [47.7333321762085, 0]
124Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [48.7999983215332, 0]
125Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [49.06666526794434, 0]
126Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [46.133332099914554, 0]
127Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [47.99999862670899, 0]
128Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [49.33333152770996, 0]
129Meta-Train Tasks: [99.73333312988281, 0]
Meta-Val Tasks: [47.46666564941406, 0]
130Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [47.466665725708005, 0]
131Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [45.06666561126709, 0]
132Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [45.59999858856201, 0]
133Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [46.13333179473877, 0]
