Meta-Val Tasks: [57.33333206176758, 0]
101Meta-Train Tasks: [96.99999809265137, 0]
Meta-Val Tasks: [58.666665649414064, 0]
102Meta-Train Tasks: [98.33333206176758, 0]
Meta-Val Tasks: [59.99999847412109, 0]
103Meta-Train Tasks: [98.16666526794434, 0]
Meta-Val Tasks: [59.99999847412109, 0]
104Meta-Train Tasks: [97.66666564941406, 0]
Meta-Val Tasks: [59.99999847412109, 0]
105Meta-Train Tasks: [97.83333168029785, 0]
Meta-Val Tasks: [59.99999847412109, 0]
106Meta-Train Tasks: [97.4999984741211, 0]
Meta-Val Tasks: [61.33333206176758, 0]
107Meta-Train Tasks: [99.16666603088379, 0]
Meta-Val Tasks: [57.33333129882813, 0]
108Meta-Train Tasks: [98.16666564941406, 0]
Meta-Val Tasks: [57.33333129882813, 0]
109Meta-Train Tasks: [97.6666648864746, 0]
Meta-Val Tasks: [55.99999847412109, 0]
110Meta-Train Tasks: [98.49999885559082, 0]
Meta-Val Tasks: [57.33333129882813, 0]
111Meta-Train Tasks: [98.83333244323731, 0]
Meta-Val Tasks: [57.33333129882813, 0]
112Meta-Train Tasks: [97.33333168029785, 0]
Meta-Val Tasks: [58.66666488647461, 0]
113Meta-Train Tasks: [97.9999984741211, 0]
Meta-Val Tasks: [59.99999847412109, 0]
114Meta-Train Tasks: [97.4999984741211, 0]
Meta-Val Tasks: [61.33333129882813, 0]
115Meta-Train Tasks: [97.33333206176758, 0]
Meta-Val Tasks: [65.33333129882813, 0]
116Meta-Train Tasks: [98.83333244323731, 0]
Meta-Val Tasks: [63.99999847412109, 0]
