Meta-Val Tasks: [77.33333129882813, 0]
195Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [75.9999984741211, 0]
196Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [77.33332977294921, 0]
197Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [78.66666412353516, 0]
198Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [78.66666564941406, 0]
199Meta-Train Tasks: [99.33333282470703, 0]
Meta-Val Tasks: [78.66666564941406, 0]
